Day,Week,Weekday,Date,Session,Period,Block,Order,Element,Lite,ATHX,Pro,Effort,Note
25,4,THURSDAY,2026-11-26,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
25,4,THURSDAY,2026-11-26,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
25,4,THURSDAY,2026-11-26,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,10 @ 7.5 kg,12 @ 12.5 kg,12 @ 15 kg,,
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,10 @ 7.5 kg,12 @ 12.5 kg,12 dual @ 15 kg,,
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,10 @ 20 kg,12 @ 30 kg,12 @ 50 kg,,
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,2,2,3,,
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,The carry follows the squats with no break. Do not set the bag down between them. That is the sequence you will meet in competition.
26,4,FRIDAY,2026-11-27,METCON MOVEMENT WORK,Main,FINISHER,,Note,,,,,"300 m row, controlled. Not a time trial this phase."
27,4,SATURDAY,2026-11-28,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,1,Duration,35 min,40 min,45 min,,
27,4,SATURDAY,2026-11-28,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,2,at,easy aerobic,easy aerobic,easy aerobic,,
27,4,SATURDAY,2026-11-28,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,1,Duration,4 min,5 min,6 min,,
27,4,SATURDAY,2026-11-28,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,2,at,steady,steady,steady,,
27,4,SATURDAY,2026-11-28,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,,Note,,,,,Transition without pausing. Note how the first ninety seconds feel. That sensation is what the Development phase trains away.
28,4,SUNDAY,2026-11-29,EASY AEROBIC,Main,,1,Duration,25 min,30 min,35 min,,
28,4,SUNDAY,2026-11-29,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,run / bike / hike,run / bike / hike,,
28,4,SUNDAY,2026-11-29,EASY AEROBIC,Main,,,Note,,,,,"Conversational the entire time. If your legs are sore from yesterday, walking or riding instead of running is the better choice."
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,1,Main,3 x 5 min,4 x 5 min,5 x 5 min,,
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,,Note,,,,,"Warm-up 10 min + 4 strides. Main set at 10 km race effort, 90 s jog. Cool-down 8 min easy. You should be able to speak a short sentence, not a long one. Comfortable talking means go faster. No talking at all means ease off - this is not an interval session."
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,1,A1 Push Press,5 x 3,5 x 3,5 x 3,2 RIR,
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,5 x 5,5 x 5,5 x 5,2 RIR,
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),4 x 12,4 x 12,4 x 12,-,
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,4 x 10,4 x 10,4 x 10,3 RIR,
29,5,MONDAY,2026-11-30,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 8,3 x 8,3 x 8,3 RIR,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,1,Warm-up,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,2,Main,4 x 4 min,4 x 5 min,5 x 5 min,,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,3,at,target competition pace,target competition pace,target competition pace,,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,4,Recovery,90 s,90 s,90 s,,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,,Note,,,,,Target competition pace is roughly 2:20 per 500 m for a well-trained athlete. Use your own figure from the Week 1 benchmark.
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
30,5,TUESDAY,2026-12-01,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 45 s,3 x 45 s,3 x 45 s,-,
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,AM,AM - EASY AEROBIC  |  45-55 MIN,,Note,,,,,Zone 2 run or bike. Conversational the whole way. This session is not where fitness is won; it is where the base is maintained without cost.
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,1,A Back Squat,5 x 2,5 x 2,5 x 2,2 RIR,
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,2,B Deadlift - repeat-triple,"2 x [3, rest 60 s, 3]","2 x [3, rest 60 s, 3]","2 x [3, rest 60 s, 3]",2-3 RIR,
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 8 each leg,3 x 8 each leg,3 x 8 each leg,3 RIR,
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 30 s each side,3 x 30 s each side,3 x 30 s each side,-,
31,5,WEDNESDAY,2026-12-02,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,,Note,,,,,The repeat-triple: work to a triple with two or three reps in the bank. Rest exactly sixty seconds. Repeat the same weight. That is one round. Three minutes between rounds.
32,5,THURSDAY,2026-12-03,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
32,5,THURSDAY,2026-12-03,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
32,5,THURSDAY,2026-12-03,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,12 @ 7.5 kg,15 @ 12.5 kg,15 @ 15 kg,,
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,12 @ 7.5 kg,15 @ 12.5 kg,15 dual @ 15 kg,,
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,12 @ 20 kg,15 @ 30 kg,15 @ 50 kg,,
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,4,5,,
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,"One full exhale on each squat ascent, without holding your breath at the bottom. Some guidance suggests nasal breathing through this block, but it limits airflow below what thirty loaded squats require, so a steady rhythm works better."
33,5,FRIDAY,2026-12-04,METCON SPECIFIC,Main,FINISHER,,Note,,,,,"300 m row, hard."
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,1,Run,600 m,800 m,800 m,,
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,2,at,3 km race effort,3 km race effort,3 km race effort,,
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,3,Ski (immediate),3 min,3 min,3 min,,
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,4,at,target competition pace,target competition pace,target competition pace,,
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,4,5,,
34,5,SATURDAY,2026-12-05,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,"Move from the run to the ski without pausing, as you would in competition."
35,5,SUNDAY,2026-12-06,EASY AEROBIC,Main,,1,Duration,30-40 min,45-60 min,60-75 min,,
35,5,SUNDAY,2026-12-06,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,Zone 2 run / bike,Zone 2 run / bike,,
35,5,SUNDAY,2026-12-06,EASY AEROBIC,Main,,,Note,,,,,Conversational the entire time. Running this session too quickly is the easiest way to compromise the following week.
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,1,Main,4 x 5 min,5 x 5 min,5 x 6 min,,
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,,Note,,,,,"Warm-up 10 min + 4 strides. Main set at 10 km race effort, 90 s jog. Cool-down 8 min easy. You should be able to speak a short sentence, not a long one. Comfortable talking means go faster. No talking at all means ease off - this is not an interval session."
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,1,A1 Push Press,5 x 3,5 x 3,5 x 3,1 RIR,
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,5 x 5,5 x 5,5 x 5,2 RIR,
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),4 x 15,4 x 15,4 x 15,-,
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,4 x 10,4 x 10,4 x 10,3 RIR,
36,6,MONDAY,2026-12-07,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 8,3 x 8,3 x 8,3 RIR,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,1,Warm-up,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,2,Main,4 x 5 min,5 x 5 min,5 x 6 min,,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,3,at,target competition pace,target competition pace,target competition pace,,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,4,Recovery,90 s,90 s,90 s,,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,,Note,,,,,Target competition pace is roughly 2:20 per 500 m for a well-trained athlete. Use your own figure from the Week 1 benchmark.
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
37,6,TUESDAY,2026-12-08,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 45 s,3 x 45 s,3 x 45 s,-,
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,AM,AM - EASY AEROBIC  |  45-55 MIN,,Note,,,,,Zone 2 run or bike. Conversational the whole way. This session is not where fitness is won; it is where the base is maintained without cost.
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,1,A Back Squat,5 x 2,5 x 2,5 x 2,1 RIR,
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,2,B Deadlift - repeat-triple,"2 x [3, rest 60 s, 3]","2 x [3, rest 60 s, 3]","2 x [3, rest 60 s, 3]",2-3 RIR,
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 8 each leg,3 x 8 each leg,3 x 8 each leg,3 RIR,
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 30 s each side,3 x 30 s each side,3 x 30 s each side,-,
38,6,WEDNESDAY,2026-12-09,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,,Note,,,,,The repeat-triple: work to a triple with two or three reps in the bank. Rest exactly sixty seconds. Repeat the same weight. That is one round. Three minutes between rounds.
39,6,THURSDAY,2026-12-10,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
39,6,THURSDAY,2026-12-10,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
39,6,THURSDAY,2026-12-10,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,12 @ 7.5 kg,15 @ 12.5 kg,15 @ 15 kg,,
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,12 @ 7.5 kg,15 @ 12.5 kg,15 dual @ 15 kg,,
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,12 @ 20 kg,15 @ 30 kg,15 @ 50 kg,,
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,4,5,,
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,"One full exhale on each squat ascent, without holding your breath at the bottom. Some guidance suggests nasal breathing through this block, but it limits airflow below what thirty loaded squats require, so a steady rhythm works better."
40,6,FRIDAY,2026-12-11,METCON SPECIFIC,Main,FINISHER,,Note,,,,,"300 m row, hard."
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,1,Run,600 m,800 m,800 m,,
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,2,at,3 km race effort,3 km race effort,3 km race effort,,
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,3,Ski (immediate),3 min,3 min,3 min,,
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,4,at,target competition pace,target competition pace,target competition pace,,
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,4,5,,
41,6,SATURDAY,2026-12-12,RUN-TO-SKI TRANSITION,Main,MAIN  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,"Move from the run to the ski without pausing, as you would in competition."
42,6,SUNDAY,2026-12-13,EASY AEROBIC,Main,,1,Duration,30-40 min,45-60 min,60-75 min,,
42,6,SUNDAY,2026-12-13,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,Zone 2 run / bike,Zone 2 run / bike,,
42,6,SUNDAY,2026-12-13,EASY AEROBIC,Main,,,Note,,,,,Conversational the entire time. Running this session too quickly is the easiest way to compromise the following week.
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,1,Main,3 x 6 min,4 x 6 min,4 x 7 min,,
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,,Note,,,,,"Warm-up 10 min + 4 strides. Main set at 10 km race effort, 90 s jog. Cool-down 8 min easy. You should be able to speak a short sentence, not a long one. Comfortable talking means go faster. No talking at all means ease off - this is not an interval session."
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,1,A1 Push Press,4 x 3,4 x 3,4 x 3,1 RIR,
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,5 x 5,5 x 5,5 x 5,2 RIR,
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),5 x 15,5 x 15,5 x 15,-,
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,4 x 10,4 x 10,4 x 10,3 RIR,
43,7,MONDAY,2026-12-14,THRESHOLD RUN + UPPER HEAVY,PM,PM - UPPER HEAVY  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 8,3 x 8,3 x 8,3 RIR,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,1,Warm-up,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,5 min + 3 x 20 s brisk,,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,2,Main,3 x 6 min,3 x 8 min,3 x 9 min,,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,3,at,target competition pace,target competition pace,target competition pace,,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,4,Recovery,90 s,90 s,90 s,,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,SKI INTERVALS,,Note,,,,,Target competition pace is roughly 2:20 per 500 m for a well-trained athlete. Use your own figure from the Week 1 benchmark.
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
44,7,TUESDAY,2026-12-15,SKI DEVELOPMENT + GRIP,Main,GRIP BLOCK  |  15 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 45 s,3 x 45 s,3 x 45 s,-,
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,AM,AM - EASY AEROBIC  |  45-55 MIN,,Note,,,,,Zone 2 run or bike. Conversational the whole way. This session is not where fitness is won; it is where the base is maintained without cost.
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,1,A Back Squat,4 x 2,4 x 2,4 x 2,1 RIR,
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,2,B Deadlift - repeat-triple,"3 x [3, rest 60 s, 3]","3 x [3, rest 60 s, 3]","3 x [3, rest 60 s, 3]",2-3 RIR,
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 8 each leg,3 x 8 each leg,3 x 8 each leg,3 RIR,
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 30 s each side,3 x 30 s each side,3 x 30 s each side,-,
45,7,WEDNESDAY,2026-12-16,EASY AEROBIC + LOWER HEAVY,PM,PM - LOWER HEAVY  |  MIN 6 H AFTER AM,,Note,,,,,The repeat-triple: work to a triple with two or three reps in the bank. Rest exactly sixty seconds. Repeat the same weight. That is one round. Three minutes between rounds.
46,7,THURSDAY,2026-12-17,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
46,7,THURSDAY,2026-12-17,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
46,7,THURSDAY,2026-12-17,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,12 @ 7.5 kg,15 @ 12.5 kg,15 @ 15 kg,,
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,12 @ 7.5 kg,15 @ 12.5 kg,15 dual @ 15 kg,,
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,12 @ 20 kg,15 @ 30 kg,15 @ 50 kg,,
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,4,5,5,,
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,"One full exhale on each squat ascent, without holding your breath at the bottom. Some guidance suggests nasal breathing through this block, but it limits airflow below what thirty loaded squats require, so a steady rhythm works better."
47,7,FRIDAY,2026-12-18,METCON SPECIFIC,Main,FINISHER,,Note,,,,,"300 m row, hard."
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,1,Run buy-in,2.4 km,3 km,3 km,,
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,2,at,your chosen entry pace,your chosen entry pace,your chosen entry pace,,
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,3,Then,max ski to cap,max ski to cap,max ski to cap,,
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,4,Score,ski metres only,ski metres only,ski metres only,,
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,,Note,,,,,Run the buy-in at the pace you intend to race and record ski distance at every 500 m. The shape of the decay curve shows whether the limiting factor is the transition or ski endurance.
48,7,SATURDAY,2026-12-19,ENDURANCE ZONE - FULL REHEARSAL,Main,FULL ENDURANCE ZONE  |  24 MIN CAP,,Note,,,,,Repeat this in Week 9 at a different entry pace. Whichever produces more total ski metres is your race strategy.
49,7,SUNDAY,2026-12-20,EASY AEROBIC,Main,,1,Duration,30-40 min,45-60 min,60-75 min,,
49,7,SUNDAY,2026-12-20,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,Zone 2 run / bike,Zone 2 run / bike,,
49,7,SUNDAY,2026-12-20,EASY AEROBIC,Main,,,Note,,,,,Conversational the entire time. Running this session too quickly is the easiest way to compromise the following week.
50,8,MONDAY,2026-12-21,THRESHOLD RUN + UPPER HEAVY,AM,AM - THRESHOLD RUN,1,Main,3 x 4 min,3 x 4 min,3 x 5 min,,
