Day,Week,Phase,Weekday,Date,Date (long),Session,Session type,Garmin sport,Shape,Load,Purpose,Fuel,Daily macros,Hydration,Electrolytes,Recovery category,Recovery guidance,Teaching block,Teaching text,Log 1,Log 2,Log 3
29,5,Development Phase,MONDAY,2026-11-30,Mon 30 Nov 2026,THRESHOLD RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,"Threshold running raises your 3 km buy-in pace, which converts into ski time. Overhead strength is a third of the Strength score.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",The standard - Deadlift - the pause,"Maximum pause between reps is five seconds, and if you set the bar down your hands must stay on it. Let go and the count restarts at zero. It is worth rehearsing your triple as three singles, with your hands staying on the bar throughout.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
30,5,Development Phase,TUESDAY,2026-12-01,Tue 01 Dec 2026,SKI DEVELOPMENT + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"This is the one day where the SkiErg is the main session rather than a warm-up. Given the Endurance Zone is scored on ski metres, it is worth protecting.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Coach's note - Ski pace discipline,"The zone scores total metres, so an even effort generally produces more than a fast opening followed by a fade. Set your target pace and hold it. Negative split by a second or two if anything.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
31,5,Development Phase,WEDNESDAY,2026-12-02,Wed 02 Dec 2026,EASY AEROBIC + LOWER HEAVY,Aerobic + Lower strength,running / strength_training,Double,Highest,"The heaviest day of the week, structured so the two sessions do not work against each other. The repeat-triple protocol mirrors the competition deadlift: two one-minute windows, sixty seconds apart, averaged.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"What fifteen seconds per kilometre is worth. Run the 3 km buy-in that much faster and you gain forty-five seconds of ski time, which is roughly 187 metres of score. This is why the Endurance Zone is one twenty-four minute effort, not two events.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
32,5,Development Phase,THURSDAY,2026-12-03,Thu 03 Dec 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Score impact,"Missing both deadlift windows affects more than the component itself. The Strength total falls, and with it the Strength placing, potentially by a considerable margin. Because the best result available in each of the other zones is one point, there is limited scope to recover the difference.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
33,5,Development Phase,FRIDAY,2026-12-04,Fri 04 Dec 2026,METCON SPECIFIC,MetCon circuit,hiit,Single,High,"The middle of MetCon X is where most of the time is won or lost, and the sandbag squat into an immediate carry is the hardest part of it. The same grip and trunk work throughout, with no break between the two.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Sandbag - dropping early,"If the bag is dropped or thrown before both feet have clearly passed the line, you must pick it up, move it back and cross again. It is easy to set the bag down on the line rather than beyond it when fatigued, so carry through.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
34,5,Development Phase,SATURDAY,2026-12-05,Sat 05 Dec 2026,RUN-TO-SKI TRANSITION,Run to ski transition,running / cardio_training,Single,High,"The most specific session in the plan. The Endurance Zone gives you twenty-four minutes, the first part of which is spent running, and only the ski metres score. Arriving at the machine with a high heart rate and settling into rhythm quickly is a trainable skill, and it converts directly into placing.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - Chalk,"Bring your own. It is permitted and it is not provided. With straps not permitted, chalk is the only grip aid available on the deadlift and the sandbag.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
35,5,Development Phase,SUNDAY,2026-12-06,Sun 06 Dec 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,"This day does two things: it maintains the aerobic base the rest of the plan is built on, and it helps clear yesterday's session by promoting blood flow without adding stress.",Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",From the floor - Between zones,"The three zones sit inside a two and a half hour window, so what you eat and drink between them has more effect than the morning meal. Rehearsing it during the Specific phase means nothing on the day is being tried for the first time.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
36,6,Development Phase,MONDAY,2026-12-07,Mon 07 Dec 2026,THRESHOLD RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,"Threshold running raises your 3 km buy-in pace, which converts into ski time. Overhead strength is a third of the Strength score.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - The repeat-triple,"Two near-maximal triples sixty seconds apart is trainable, and rarely addressed directly. Watch the drop from the first triple to the second rather than the weight on the first. Closing that gap improves the average.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
37,6,Development Phase,TUESDAY,2026-12-08,Tue 08 Dec 2026,SKI DEVELOPMENT + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"This is the one day where the SkiErg is the main session rather than a warm-up. Given the Endurance Zone is scored on ski metres, it is worth protecting.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",The standard - Sandbag carry - the pick,The bag must be taken from the ground. Any method of getting it to a bear hug or to the shoulder is permitted. Both are worth practising. A shoulder carry is usually quicker over 30 m but harder to secure once grip is fatigued.,Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
38,6,Development Phase,WEDNESDAY,2026-12-09,Wed 09 Dec 2026,EASY AEROBIC + LOWER HEAVY,Aerobic + Lower strength,running / strength_training,Double,Highest,"The heaviest day of the week, structured so the two sessions do not work against each other. The repeat-triple protocol mirrors the competition deadlift: two one-minute windows, sixty seconds apart, averaged.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"Total working time across all three zones, spread over a two and a half hour window with recovery between. This is why carbohydrate loading suits this event less well than it does longer races. Glycogen is unlikely to be the limiting factor, and loading tends to add water weight and gastrointestinal load.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
39,6,Development Phase,THURSDAY,2026-12-10,Thu 10 Dec 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Kit - Belts and wraps,"Weightlifting belts, wrist wraps, elbow sleeves and knee sleeves are all permitted. Knee wraps and elbow wraps are not. If you plan to compete in a belt, train in it on your heavy days rather than introducing it on the day.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
40,6,Development Phase,FRIDAY,2026-12-11,Fri 11 Dec 2026,METCON SPECIFIC,MetCon circuit,hiit,Single,High,"The middle of MetCon X is where most of the time is won or lost, and the sandbag squat into an immediate carry is the hardest part of it. The same grip and trunk work throughout, with no break between the two.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Deadlift - the finish,"The rep is credited when hips and knees reach full extension and your head and shoulders are behind the bar. Stopping just short is easy to do under fatigue, so stand fully upright and hold the position briefly.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
41,6,Development Phase,SATURDAY,2026-12-12,Sat 12 Dec 2026,RUN-TO-SKI TRANSITION,Run to ski transition,running / cardio_training,Single,High,Second exposure. Watch the consistency of your ski metres across rounds rather than the size of round one.,"Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",From the floor - Ski damper,"The damper may be adjusted before and during the workout, though every second spent adjusting is a second not skiing. Set it in your warm-up and leave it alone.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
42,6,Development Phase,SUNDAY,2026-12-13,Sun 13 Dec 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,"This day does two things: it maintains the aerobic base the rest of the plan is built on, and it helps clear yesterday's session by promoting blood flow without adding stress.",Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Score impact,"Consistency across the three zones matters more than an outstanding result in any one of them. Every zone gets dedicated weekly attention in this plan, which suits the way rank-sum scoring rewards balance.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
43,7,Development Phase,MONDAY,2026-12-14,Mon 14 Dec 2026,THRESHOLD RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,"Threshold running raises your 3 km buy-in pace, which converts into ski time. Overhead strength is a third of the Strength score.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.","From the floor - Rehearsal, not workout",Today's session is data collection. Run the buy-in at the pace you intend to race and record every 500 m ski split. Try not to adjust mid-session to protect the number. A rehearsal that shows a genuine result is more useful than one that flatters.,"Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
44,7,Development Phase,TUESDAY,2026-12-15,Tue 15 Dec 2026,SKI DEVELOPMENT + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"This is the one day where the SkiErg is the main session rather than a warm-up. Given the Endurance Zone is scored on ski metres, it is worth protecting.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Coach's note - Reading the decay curve,"If your first two ski minutes are poor and you recover, you have a transition problem, and that is trainable. If the pace decays steadily throughout, you have a ski endurance problem and you need more of Tuesday.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
45,7,Development Phase,WEDNESDAY,2026-12-16,Wed 16 Dec 2026,EASY AEROBIC + LOWER HEAVY,Aerobic + Lower strength,running / strength_training,Double,Highest,"The heaviest day of the week, structured so the two sessions do not work against each other. The repeat-triple protocol mirrors the competition deadlift: two one-minute windows, sixty seconds apart, averaged.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"How much ski pace you can afford to lose by running the buy-in thirty seconds per kilometre faster, and still score the same. Most athletes lose between six and twelve per cent moving to a 5 km effort. The trade is comfortably positive.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
46,7,Development Phase,THURSDAY,2026-12-17,Thu 17 Dec 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",The standard - Back squat - continuity,"As long as the bar stays in the back rack position, your reps do not need to be consecutive. But if you re-rack or dump the bar, the score is void and you start again. That means you can pause and reset between reps of a heavy double. Use it.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
47,7,Development Phase,FRIDAY,2026-12-18,Fri 18 Dec 2026,METCON SPECIFIC,MetCon circuit,hiit,Single,High,"The middle of MetCon X is where most of the time is won or lost, and the sandbag squat into an immediate carry is the hardest part of it. The same grip and trunk work throughout, with no break between the two.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Burpees over the bench,"Chest must clearly touch the ground on every rep. Chest contact is usually the first standard to slip thirty reps into MetCon X, and judges watch for it.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
48,7,Development Phase,SATURDAY,2026-12-19,Sat 19 Dec 2026,ENDURANCE ZONE - FULL REHEARSAL,Run to ski transition,running / cardio_training,Single,High,"The whole zone, once, exactly as it will run on the day. This is data collection, so record every 500 m ski split and let the session run as planned rather than adjusting to protect the number.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - Shoes,"Weightlifting shoes are permitted in the Strength Zone, though one pair of stable trainers across all three zones suits most athletes better. Changing shoes costs time between zones and adds another thing to remember.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
49,7,Development Phase,SUNDAY,2026-12-20,Sun 20 Dec 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,"This day does two things: it maintains the aerobic base the rest of the plan is built on, and it helps clear yesterday's session by promoting blood flow without adding stress.",Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Coach's note - Sunday audit,"If Wednesday's deadlift gap widened rather than narrowed, and Saturday's ski faded more than five per cent, you are accumulating fatigue faster than you are clearing it. In that case the Week 8 deload is worth taking in full rather than pushing through.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
50,8,Development Phase,MONDAY,2026-12-21,Mon 21 Dec 2026,THRESHOLD RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,"Threshold running raises your 3 km buy-in pace, which converts into ski time. Overhead strength is a third of the Strength score.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - Taper the deload,"Intensity stays and volume halves, so this is a sharpening week rather than a rest week. The Specific phase depends on arriving recovered, so week nine is worth reaching in good shape.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
51,8,Development Phase,TUESDAY,2026-12-22,Tue 22 Dec 2026,SKI DEVELOPMENT + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"This is the one day where the SkiErg is the main session rather than a warm-up. Given the Endurance Zone is scored on ski metres, it is worth protecting.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",Score impact,"Field size sets the downside. In a hundred-athlete field, a last place in one zone costs a hundred points, which is difficult to recover elsewhere. That is why the pacing guidance here favours protecting a solid result over chasing a peak one.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
52,8,Development Phase,WEDNESDAY,2026-12-23,Wed 23 Dec 2026,EASY AEROBIC + LOWER HEAVY,Aerobic + Lower strength,running / strength_training,Double,Highest,"The heaviest day of the week, structured so the two sessions do not work against each other. The repeat-triple protocol mirrors the competition deadlift: two one-minute windows, sixty seconds apart, averaged.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,How much more a given improvement is worth in placings from the middle of the field than from the top seven per cent. Giving your weakest zone the most attention returns more placings than the same effort spent on a strong one.,Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
53,8,Development Phase,THURSDAY,2026-12-24,Thu 24 Dec 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",The standard - Run laps,"Completing the full number of laps is the athlete's responsibility, and a miscount means the distance does not count. Know the lap length before you start and count deliberately.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
54,8,Development Phase,FRIDAY,2026-12-25,Fri 25 Dec 2026,METCON SPECIFIC,MetCon circuit,hiit,Single,High,"The middle of MetCon X is where most of the time is won or lost, and the sandbag squat into an immediate carry is the hardest part of it. The same grip and trunk work throughout, with no break between the two.","Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Ground to overhead - alternating,"In the ATHX division you must alternate arms after each successful rep. If you are given a no rep, that rep must be repeated with the same arm. Losing track of which arm you are on costs reps, so it is worth establishing a rhythm you can hold when tired.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
55,8,Development Phase,SATURDAY,2026-12-26,Sat 26 Dec 2026,RUN-TO-SKI TRANSITION,Run to ski transition,running / cardio_training,Single,High,"Reduced volume, same structure. Hold the pace and cut the rounds.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",Kit - The bag,"Pack it the night before every simulation, not just for the competition. Chalk, sleeves, belt, shoes, food, bottle. The simulations rehearse the whole day, and packing is part of what they are for.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
56,8,Development Phase,SUNDAY,2026-12-27,Sun 27 Dec 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,"This day does two things: it maintains the aerobic base the rest of the plan is built on, and it helps clear yesterday's session by promoting blood flow without adding stress.",Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",From the floor - Warm-up architecture,"Five minutes per lift includes your warm-up. That means everything must be front-loaded before the clock starts. Arrive already warm through shoulders, hips and posterior chain, with the exact ramp rehearsed.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
57,9,Specific Phase,MONDAY,2026-12-28,Mon 28 Dec 2026,3 KM SPECIFIC RUN + UPPER HEAVY,Run + Upper strength,running / strength_training,Double,High,Your buy-in pace is worth roughly 187 metres of ski score per fifteen seconds per kilometre. This session makes that pace repeatable.,"Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",From the floor - The compressed ramp,"Five minutes covers a maximal Shoulder to Overhead from a standing start, which allows for two or three loaded singles and the attempt. Write the ramp down: bar, then three loads, then the attempt, and practise it against a timer each week from here.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
